Patent Number - Numéro du brevet|IPC Classification Sequence Number - Numéro de séquence de la classification de la CIB|IPC Version Date - Date de la version de la CIB|Classification Level - Niveau de classification|Classification Status Code - Code du statut de classification|Classification Status - Statut de classification|IPC Section Code - Code de la section de la CIB|IPC Section - Section de la CIB|IPC Class Code - Code de la classe de la CIB|IPC Class - Classe de la CIB|IPC Subclass Code - Code de la sous-classe de la CIB|IPC Subclass - Sous-classe de la CIB|IPC Main Group Code - Code du groupe principal de la CIB|IPC Group - Groupe de la CIB|IPC Subgroup Code - Code du sous-groupe de la CIB|IPC Subgroup - Sous-groupe de la CIB
3948|   1|2006-01-01|A|R|Reclassified data|C|CHEMISTRY; METALLURGY|10|PETROLEUM, GAS OR COKE INDUSTRIES; TECHNICAL GASES CONTAINING CARBON MONOXIDE; FUELS; LUBRICANTS; PEAT|M|LUBRICATING COMPOSITIONS (well drilling compositions C09K0008020000); USE OF CHEMICAL SUBSTANCES EITHER ALONE OR AS LUBRICATING INGREDIENTS IN A LUBRICATING COMPOSITION (mould release, i.e. separating, agents for metals B22C0003000000, for plastics or substances in a plastic state, in general B29C0033560000, for glass C03B0040020000;textile lubricating compositions D06M0011000000, D06M0013000000, D06M0015000000;immersion oils for microscopy G02B0021330000)|171|Lubricating compositions characterised by purely physical criteria, e.g. containing as base-material, thickener or additive, ingredients which are characterised exclusively by their numerically specified physical properties, i.e. containing ingredients which are physically well defined but for which the chemical nature is either unspecified or only very vaguely indicated (chemically defined ingredients C10M0101000000-C10M0169000000;petroleum fractions C10M0101020000, C10M0121020000, C10M0159040000)|00|Lubricating compositions characterised by purely physical criteria, e.g. containing as base-material, thickener or additive, ingredients which are characterised exclusively by their numerically specified physical properties, i.e. containing ingredients which are physically well defined but for which the chemical nature is either unspecified or only very vaguely indicated (chemically defined ingredients C10M0101000000-C10M0169000000;petroleum fractions C10M0101020000, C10M0121020000, C10M0159040000)
20933|   3|2006-01-01|A|B|Basic or original data|C|CHEMISTRY; METALLURGY|09|DYES; PAINTS; POLISHES; NATURAL RESINS; ADHESIVES; COMPOSITIONS NOT OTHERWISE PROVIDED FOR; APPLICATIONS OF MATERIALS NOT OTHERWISE PROVIDED FOR|K|MATERIALS FOR APPLICATIONS NOT OTHERWISE PROVIDED FOR; APPLICATIONS OF MATERIALS NOT OTHERWISE PROVIDED FOR|3|Materials not provided for elsewhere|10|for sealing or packing joints or covers
26121|   1|2006-01-01|A|R|Reclassified data|H|ELECTRICITY|01|BASIC ELECTRIC ELEMENTS|J|ELECTRIC DISCHARGE TUBES OR DISCHARGE LAMPS (spark-gaps H01T;arc lamps with consumable electrodes H05B;particle accelerators H05H)|31|Cathode-ray tubes; Electron-beam tubes (H01J0025000000, H01J0033000000, H01J0035000000, H01J0037000000 take precedence;details of cathode-ray tubes or of electron-beam tubes H01J0029000000)|50|Image-conversion or image-amplification tubes, i.e. having optical, X-ray, or analogous input, and optical output
2123|   1|2006-01-01|A|R|Reclassified data|E|FIXED CONSTRUCTIONS|04|BUILDING|H|BUILDINGS OR LIKE STRUCTURES FOR PARTICULAR PURPOSES; SWIMMING OR SPLASH BATHS OR POOLS; MASTS; FENCING; TENTS OR CANOPIES, IN GENERAL (foundations E02D)|15|Tents or canopies, in general|20|inflatable, e.g. shaped, strengthened, or supported by fluid pressure (connection of valves to inflatable elastic bodies B60C0029000000;inflatable forms for making walls, floors, ceilings or roofs in situE04G0011040000)
12226|   1|2006-01-01|A|B|Basic or original data|C|CHEMISTRY; METALLURGY|07|ORGANIC CHEMISTRY|H|SUGARS; DERIVATIVES THEREOF; NUCLEOSIDES; NUCLEOTIDES; NUCLEIC ACIDS (derivatives of aldonic or saccharic acids C07C, C07D;aldonic acids, saccharic acids C07C0059105000, C07C0059285000;cyanohydrins C07C0255160000;glycals C07D;compounds of unknown constitution C07G;polysaccharides, derivatives thereof C08B;DNA or RNA concerning genetic engineering, vectors, e.g. plasmids, or their isolation, preparation or purification C12N0015000000;sugar industry C13)|21|Compounds containing two or more mononucleotide units having separate phosphate or polyphosphate groups linked by saccharide radicals of nucleoside groups, e.g. nucleic acids|00|Compounds containing two or more mononucleotide units having separate phosphate or polyphosphate groups linked by saccharide radicals of nucleoside groups, e.g. nucleic acids
94235|   1|2006-01-01|A|R|Reclassified data|H|ELECTRICITY|01|BASIC ELECTRIC ELEMENTS|J|ELECTRIC DISCHARGE TUBES OR DISCHARGE LAMPS (spark-gaps H01T;arc lamps with consumable electrodes H05B;particle accelerators H05H)|29|Details of cathode-ray tubes or of electron-beam tubes of the types covered by group H01J0031000000|56|Arrangements for controlling cross-section of ray or beam; Arrangements for correcting aberration of beam, e.g. due to lenses
95066|   4|2006-01-01|A|B|Basic or original data|B|PERFORMING OPERATIONS; TRANSPORTING|23|MACHINE TOOLS; METAL-WORKING NOT OTHERWISE PROVIDED FOR|P|OTHER WORKING OF METAL; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS (arrangements for copying or controlling B23Q)|21|Machines for assembling a multiplicity of different parts to compose units, with or without preceding or subsequent working of such parts, e.g. with programme control|00|Machines for assembling a multiplicity of different parts to compose units, with or without preceding or subsequent working of such parts, e.g. with programme control
2709|   1|2006-01-01|A|R|Reclassified data|C|CHEMISTRY; METALLURGY|09|DYES; PAINTS; POLISHES; NATURAL RESINS; ADHESIVES; COMPOSITIONS NOT OTHERWISE PROVIDED FOR; APPLICATIONS OF MATERIALS NOT OTHERWISE PROVIDED FOR|D|COATING COMPOSITIONS, e.g. PAINTS, VARNISHES OR LACQUERS; FILLING PASTES; CHEMICAL PAINT OR INK REMOVERS; INKS; CORRECTING FLUIDS; WOODSTAINS; PASTES OR SOLIDS FOR COLOURING OR PRINTING; USE OF MATERIALS THEREFOR (cosmetics A61K;processes for applying liquids or other fluent materials to surfaces, in general, B05D;staining wood B27K0005020000;glazes or vitreous enamels C03C;natural resins, French polish, drying-oils, driers, turpentine, per se, C09F;polishing compositions other than French polish, ski waxes C09G;adhesives or use of materials as adhesives C09J;materials for sealing or packing joints or covers C09K0003100000;materials for stopping leaks C09K0003120000;processes for the electrolytic or electrophoretic production of coatings C25D)|135|Coating compositions based on homopolymers or copolymers of compounds having one or more unsaturated aliphatic radicals, each having only one carbon-to-carbon double bond, and at least one being terminated by a carboxyl radical, and containing at least another carboxyl radical in the molecule, or of salts, anhydrides, esters, amides, imides or nitriles thereof; Coating compositions based on derivatives of such polymers|08|Copolymers with vinyl ethers
1347|   1|2006-01-01|A|R|Reclassified data|A|HUMAN NECESSITIES|23|FOODS OR FOODSTUFFS; THEIR TREATMENT, NOT COVERED BY OTHER CLASSES|B|PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS; CHEMICAL RIPENING OF FRUIT OR VEGETABLES; THE PRESERVED, RIPENED, OR CANNED PRODUCTS|7|Preservation or chemical ripening of fruit or vegetables|06|Blanching (machines therefor A23N0012000000)
69985|   6|2006-01-01|A|R|Reclassified data|B|PERFORMING OPERATIONS; TRANSPORTING|29|WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL|C|SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING (making preforms B29B0011000000;making laminated products by combining previously unconnected layers which become one product whose layers will remain together B32B0037000000-B32B0041000000)|65|Joining of preformed parts; Apparatus therefor|00|Joining of preformed parts; Apparatus therefor
